lsoa_code,lsoa_name,la_name,wimd_2025_rank,income_rank,employment_rank,health_rank,education_rank,access_rank,housing_rank,community_safety_rank,physical_env_rank,wimd_2025_score,income_score,employment_score,health_score,education_score,access_score,housing_score,community_safety_score,physical_env_score,drd_category,wimd_2019_rank,wimd_2014_rank,wimd_2011_rank,wimd_2008_rank,wimd_2005_rank,ruc_code,ruc_name,rural_urban,access_rank_gap,housing_rank_gap
W01000638,Carmarthen Town North 2,Carmarthenshire,271,272,302,381,269,640,305,425,1303,37.4848340208247,43.2576498041656,41.0381434017266,36.0490472780562,43.4918509036102,24.6806433005279,40.8275328135948,33.6775974081246,8.75768023333021,LSOAs never ranked in top 50 most deprived,369,266,342,380,323,UF1,Urban: Further from a major town or city,Urban,369,34
W01000639,Carmarthen Town North 3,Carmarthenshire,985,746,750,789,1015,1335,939,735,1339,17.6892853559472,21.2747284720274,21.1555759189672,20.025086155969,14.3843252638386,8.20967693488654,16.1312069689596,21.6056169977948,8.14208554780427,LSOAs never ranked in top 50 most deprived,743,1080,973,1070,1036,UF1,Urban: Further from a major town or city,Urban,350,-46
W01000640,Carmarthen Town North 4,Carmarthenshire,1773,1777,1764,1700,1748,663,1656,1737,1091,4.90741884496974,1.73354266296509,1.90015237233338,2.73845612912346,2.1068812673999706,23.8975844798247,3.33304151582498,2.25009296734753,12.7608071014425,LSOAs never ranked in top 50 most deprived,1792,1761,1766,1791,1737,UF1,Urban: Further from a major town or city,Urban,-1110,-117
W01000641,Carmarthen Town South 1,Carmarthenshire,509,590,411,512,725,1338,462,146,575,28.051005600964,26.4809077373209,34.4059654431317,29.605045135778,21.9106122518438,8.15896478170446,31.856797802148,56.005580172015,27.0496607107552,LSOAs never ranked in top 50 most deprived,418,464,566,585,620,UF1,Urban: Further from a major town or city,Urban,829,-47
W01000642,Carmarthen Town South 2,Carmarthenshire,1347,1397,1286,766,1457,347,1749,1293,1354,12.2026409372735,7.18369696311483,9.05420620453297,20.6850441646259,6.23257261418999,38.0651720786778,2.0939061313037306,8.93164394102851,7.89037234129321,LSOAs never ranked in top 50 most deprived,1406,1240,1437,1334,1336,UF1,Urban: Further from a major town or city,Urban,-1000,402
W01000643,Carmarthen Town West 1,Carmarthenshire,820,668,870,564,633,1085,921,732,1599,20.4702976324608,23.7308255216234,17.840979324203,27.4758706625832,24.9243556120482,12.8848946033218,16.5651270025312,21.6966916603332,4.12688588424453,LSOAs never ranked in top 50 most deprived,971,931,727,908,1022,UF1,Urban: Further from a major town or city,Urban,265,101
W01000644,Carmarthen Town West 2,Carmarthenshire,1463,1417,1429,1322,1415,329,1469,1133,1799,10.207138231304,6.86226541397567,6.67154082784447,8.43073092520504,6.89420717633154,39.2086713724364,6.04697811944721,11.910448810271,1.45430845371833,LSOAs never ranked in top 50 most deprived,1464,1476,1416,1506,1447,UF1,Urban: Further from a major town or city,Urban,-1134,6
W01000645,Carmarthen Town West 3,Carmarthenshire,1267,1094,1035,916,1330,1036,1114,1025,809,13.4273836488709,12.6990135004679,13.9458497514272,16.68712752224,8.29444645993786,13.9241438787154,12.2912451941267,14.1640426279396,19.466210180306305,LSOAs never ranked in top 50 most deprived,1256,1104,1105,1084,1139,UF1,Urban: Further from a major town or city,Urban,-231,-153
W01000646,Cenarth,Carmarthenshire,558,688,775,1000,1086,158,75,1059,685,26.602939107106,23.075623623115,20.4245398801956,14.7187562513825,12.864166806587,54.4378703545907,68.4294443992908,13.4304803198105,23.172721919325,LSOAs never ranked in top 50 most deprived,758,735,683,839,903,RSF1,Smaller rural: Further from a major town or city,Rural,-400,-483
W01000647,Cilycwm,Carmarthenshire,769,1360,1363,1701,1264,11,63,1748,1060,21.423779553385,7.79045336062413,7.740656179642969,2.72511986642925,9.44370959669208,92.2928508046826,71.3974372375447,2.1068812673999706,13.4092551880126,LSOAs never ranked in top 50 most deprived,910,996,976,979,1025,RSF1,Smaller rural: Further from a major town or city,Rural,-758,-706
W01000648,Cynwyl Elfed 1,Carmarthenshire,793,1510,1652,1380,1376,8,50,1792,1140,20.9042202252772,5.4239307553771,3.38786475895365,7.460490723607631,7.526105640471979,94.3464939726561,75.1142089728036,1.54278851944654,11.7717295661219,LSOAs never ranked in top 50 most deprived,943,999,1039,1021,948,RSF1,Smaller rural: Further from a major town or city,Rural,-785,-743
W01000649,Cynwyl Elfed 2,Carmarthenshire,1216,1647,1470,1591,1683,80,277,1829,1040,14.3522397959622,3.45657809102635,6.03157930099288,4.24052801339914,2.96636378830555,67.2975617789624,42.8725374686119,1.07891681052304,13.8375246553555,LSOAs never ranked in top 50 most deprived,1440,1427,1491,1484,1379,RSF1,Smaller rural: Further from a major town or city,Rural,-1136,-939
W01000650,Cynwyl Gaeo,Carmarthenshire,608,1398,1416,1431,874,5,27,1561,643,25.0837407532396,7.16751824980493,6.87823075017479,6.6399065947588,17.7383144633006,96.6016437838926,83.6587696484863,4.67175799544653,24.5769805529271,LSOAs never ranked in top 50 most deprived,793,928,892,936,910,RSF1,Smaller rural: Further from a major town or city,Rural,-603,-581
W01000651,Dafen 1,Carmarthenshire,1131,990,899,944,733,1402,1314,1047,533,15.7460414416327,14.9444427131545,17.1068376716429,16.0121123763408,21.6662933513714,7.10291696165361,8.56782774795796,13.6867215568436,28.7213262688648,LSOAs never ranked in top 50 most deprived,1201,1263,1191,1113,1135,UN1,Urban: Nearer to a major town or city,Urban,271,183
W01000652,Dafen 2,Carmarthenshire,497,383,454,363,398,949,1328,702,1798,28.375882624646895,35.9357803539474,32.2384533751392,37.0943619858733,35.1036046685515,15.8936312832385,8.32844194402847,22.6278406970755,1.46692764264507,LSOAs never ranked in top 50 most deprived,528,672,584,610,795,UN1,Urban: Nearer to a major town or city,Urban,452,831
W01000653,Elli 1,Carmarthenshire,1350,1078,929,1148,1364,1848,1016,976,777,12.1230577342729,13.0305145912057,16.3712622991178,11.614211041696,7.72408104955796,0.8442991640904172,14.3622018183192,15.2641710664011,20.3670485562759,LSOAs never ranked in top 50 most deprived,1144,1113,1024,980,1027,UN1,Urban: Nearer to a major town or city,Urban,498,-334
W01000654,Elli 2,Carmarthenshire,451,549,355,650,715,1677,459,83,147,29.7620554709456,28.0700949563639,37.5746452807467,24.3369024359488,22.2197063596296,3.04734403018861,31.999177516669,66.6442395766252,55.8707782061083,LSOAs never ranked in top 50 most deprived,478,543,532,544,514,UN1,Urban: Nearer to a major town or city,Urban,1226,8
W01000655,Felinfoel,Carmarthenshire,257,226,306,335,376,503,854,673,155,37.994274485085,47.1405848632799,40.7577556832299,38.8211536237917,36.3346792655497,29.994429466825,18.2562837106548,23.5652669328937,54.8198942097118,LSOAs never ranked in top 50 most deprived,360,475,419,350,257,UN1,Urban: Nearer to a major town or city,Urban,246,597
